아이디 비밀번호 교수학생여부 학번 학년 평균학점 이수학점
uvc4474 Knf2X?cS true 2014013075 4 3.64 12 
skb5538 "dn.jInY false 2018484647 2 3.31 14 
kcn7702 Gb%uGy>r false 2015311064 4 0.18 19 
sfu4498 md>2KG#p false 2016272611 4 2.36 8 
boi1796 :-6!T8m. false 2016386946 4 2.42 4 
jva9668 =wM;sT=9 false 2015676038 4 0.59 18 
zce2109 3gHnmkk6 true 2016873974 4 3.78 2 
xws4888 xdVY-V$B false 2017885563 3 3.65 15 
rrp5982 \DQ__,X) true 2019901880 1 1.13 9 
snk9940 TU<6CCdk false 2019916006 1 1.53 18 
lzz9258 u\jG0v`W true 2016766275 4 2.82 12 
dcl9467 .'Ee(J4r false 2018572159 2 2.78 15 
fiy2046 PKh@^WMy false 2016217650 4 0.70 14 
tnx6307 )97tw](p true 2017901436 3 3.13 2 
unq7514 uoKAU`Xf false 2015731139 4 2.34 19 
brw3916 y**7N'gc false 2019135154 1 0.43 3 
kid6135 )an)'Rq7 false 2019615017 1 0.66 8 
iqe165 .ay9.6[9 true 2015273767 4 0.57 2 
mum7740 WC"F[R%a true 2016829267 4 3.35 17 
bte6610 9*PD#0Sc false 2014960710 4 3.91 11 
upm7619 >OPdS<_d false 2015172093 4 2.00 17 
ogi2113 BDUQUm1r false 2016317314 4 3.13 24 
qmb3601 fp8,uP/+ true 2014954669 4 0.69 5 
fuw4515 (,_r-/(] false 2014316491 4 1.94 19 
jph9818 Vs:mk.c+ false 2016638945 4 0.34 3 
xet2399 0P$!1uO* false 2014500541 4 3.20 2 
ikm4090 `t"50O\I true 2014301691 4 2.64 13 
puu7545 Mr4+8wi1 true 2015115494 4 4.18 17 
eqd3368 1(u&o9,R true 2018249646 2 3.94 3 
vha5801 I_[)I#f` false 2017859284 3 2.72 17 
rln9566 k=[*'XrD true 2016965389 4 1.61 11 
try5647 CC\?tTf, false 2014820773 4 0.43 9 
ztx7388 ?o<)4oXV false 2018978201 2 1.18 22 
gzk5531 #Nn+^V>\ true 2019602999 1 3.04 21 
dxj2674 :/&.A*+* false 2015587498 4 4.28 22 
mae5970 U`hNQ8sQ false 2014028275 4 3.55 15 
enq4452 %-9%wuX$ false 2014275263 4 2.19 14 
vgm4675 4)A;Dt0O false 2018538482 2 3.10 21 
dis2975 keh)\S8K true 2014117162 4 1.14 12 
gzi7825 H#Gip)T# false 2017430256 3 1.20 7 
jek7074 n?):@-OA false 2018118480 2 0.93 10 
mfy5746 V]`8siHJ false 2015181616 4 1.25 16 
naa705 MnN&%3BT false 2014958674 4 4.12 23 
cbw3533 H[ZtA'.0 true 2019499118 1 3.76 6 
rnr5627 Xj"N<N6& false 2019946861 1 2.76 6 
hgc6474 QREX^rhG true 2019825786 1 3.58 20 
giy2099 I)i.duoS false 2015709257 4 1.04 17 
bkt8075 omY]1Kx2 false 2018418340 2 0.39 22 
fun8611 W)Z*q.G" true 2016430152 4 2.42 15 
jkd3135 f-Bm78yX true 2017294920 3 3.11 6 
pjy1892 QTV"Go4x true 2018936080 2 2.16 14 
dsr8542 ktUh@@B/ true 2016007188 4 3.58 10 
nzo6467 58l@tvsI false 2015796662 4 2.62 14 
hai3511 gx=W]4fG true 2019483725 1 0.08 8 
fmn4166 6M%``X%Y true 2017305266 3 1.26 20 
hbi2222 45*SAUNy false 2016916577 4 2.28 11 
xxg2372 S6sd5R?n true 2015746289 4 0.80 12 
jvn7866 Y9<'jX^Z true 2016557258 4 1.97 24 
axu3290 =[X7jW.p true 2017424082 3 0.36 15 
qtn4404 *iU#8o*d true 2018468915 2 4.26 3 
