학번 아이디 패스워드 학년 학점 이수학점
2018348076 abu6825 ZI#x436u 1 1.29 19 
2018568272 cqq3940 7o.d<Fha 1 3.76 15 
2017243554 nhs6165 V2N3hcZW 2 2.82 23 
2017624385 sbi9075 yhmXq_8J 2 2.02 20 
2017888747 bxg5173 Qg>[T^2l 2 2.76 6 
2016157374 vva6754 Z5Ol9XoU 3 3.35 2 
2017110074 znj1471 &*L09xg- 2 1.23 4 
2016660348 ybb6147 dD1p^Wju 3 0.95 23 
2016284995 iyx8917 UqV@lM=M 3 3.61 6 
2017502063 vhm6940 o?-(QYRD 2 1.91 20 
2015155772 txl8205 ^jrYX/IP 4 0.04 22 
2016129162 ffb9072 *OPnhWEg 3 0.87 10 
2018113815 vfz4106 yg-ZbVk_ 1 0.70 6 
2015315586 sqa3827 ZpA4o!TO 4 3.14 11 
2017238601 kzj257 JTpHxTg8 2 1.44 11 
2016880842 rdg2425 xPk@16;" 3 2.36 11 
2016192709 cns3428 UPXX[GZX 3 1.32 22 
2016357335 iov6775 <n+$UU-S 3 2.55 7 
2016485888 ood1688 ?c9AJ0;7 3 0.83 23 
2017610205 gqm559 Q::$vKMB 2 2.92 21 
2016111598 pgw162 ,,k\IQC_ 3 2.29 16 
201853392 ivk9655 TSQX=&%Z 1 2.37 23 
2018519874 qzt2565 b*V/\T!/ 1 2.27 20 
2015687395 zfc8418 Mub]rEMI 4 0.53 20 
2018831857 znp3989 N>yuh+9. 1 4.07 14 
2018216907 qrr8004 lRmsCY?W 1 0.69 11 
2018168623 lje2982 7GqHNMnL 1 0.53 8 
201755547 qda3265 vmQK"=>g 2 2.09 7 
2016992751 zzl8652 rjE;hccm 3 2.69 9 
2017410472 qmu8974 FWt`Fd_5 2 1.61 4 
2017564198 gkg2476 d=:U$dRK 2 0.60 24 
2017254086 oro3677 rMnl@E]X 2 2.03 19 
2017637832 qjh3240 4u/:8k6A 2 3.55 20 
2018310217 cif5716 Re<\8Hrj 1 0.29 12 
201713640 qvh5878 ga/!I*#V 2 4.27 8 
201525508 thr9446 Y[(,Hc;l 4 3.09 13 
2015426715 kpd6137 3"p%`5]6 4 0.87 17 
2018457163 djb2807 #-(bVh*& 1 1.71 8 
2015355316 djh8197 xCX`hu.j 4 3.59 15 
2015211316 woz2395 <*7QWtgu 4 3.55 17 
2018554249 suj5422 V@@tMfps 1 3.99 10 
2015814097 fyl7046 8U>A2h[r 4 1.55 13 
2016120779 gcg1353 ;6oq)3C! 3 1.95 8 
2015518871 yfc5405 W*/h1qp; 4 0.90 15 
2018671409 cfg5592 vSQ5G=0] 1 4.22 16 
2017226041 qfn2818 Wqp5(-NE 2 0.37 20 
2016600237 obs1825 [wwGB/CM 3 3.41 17 
2017675500 wyo459 FuC>Z[)] 2 0.66 22 
201662644 rpu5191 90`sR)E@ 3 1.06 10 
2016817060 pzb1067 :[Y,LY6G 3 1.82 17 
2015295290 lho974 #9'"KNZF 4 3.16 2 
2015453524 wgb6790 8Vx&Q!jP 4 2.63 16 
2018857650 vph8058 e!"fkE_2 1 3.39 14 
2016610801 mxg7424 $2V6\Mu: 3 1.10 4 
2017693521 yrh9103 Ak)UagSF 2 3.43 12 
2016598895 yav9806 H?[m8Gsh 3 1.35 22 
2018499594 znv1026 X/Kg.CC7 1 4.09 8 
2015734529 tjs9362 2XEuDQLK 4 0.23 17 
2016495762 isc309 Dt)@N::Q 3 3.19 14 
201848988 ihf1058 P?m$#-Nj 1 2.34 13  
